id,Name,Zip Code,Buisness Rating,Review Count,Categories,Delivery,Distance,Price
Z0wcyf3X0qNXUN4KTkUTuA,Attic Bar & Bistro,80302,4.0,117,bars,True,41062.276572202914,$$
EN4Cn0svW0ermUjL4zazUA,Moose Hill Cantina,80215,4.0,262,mexican,True,13858.574926259837,$$
NPdl2i04ev_mkWob9VJuXA,Reeds Southside Tavern,80124,3.5,101,tradamerican,True,21560.362147241336,$$
Ke6EQ51KG-3JoDXfUpePfg,Los Portales Mexican Restaurant,80113,4.0,98,mexican,True,9186.027652725044,$
kxduNJ9BrO26b4QuCA1Iww,Applebee's Grill + Bar,80123,2.5,79,tradamerican,True,16337.048983328812,$$
iN_P0PMDjM-8eJp9uvAN-g,Little India,80203,3.5,684,indpak,True,1559.1586368029855,$$
sUVMjN6EFUssvBfrm3eFSA,Vy Sushi Bar & Asian Fine Dining,80134,4.5,103,sushi,True,27857.056882614805,$$
_WzV7oai-CKcyrOuplZxkA,Asaderos Mexican Food Restaurant,80226,3.5,36,mexican,True,7832.212766644417,$$
2jtw0L3OooYJb2BEOeUJOA,Arcana Restaurant,80302,4.5,153,tradamerican,True,41094.5763334274,$$$
QI4w9vmZa1k1jVw0HUlMAA,The Perfect Landing Restaurant,80112,3.5,490,tradamerican,True,20442.69912360128,$$$
XbRwnS7iNEQc4sMnKGDOlQ,Virgilio's Pizzeria & Wine Bar,80127,4.0,444,pizza,True,22607.493421518953,$$
9s8rUUYVrlRXm6gPVktjAQ,Taco Unico,80232,4.5,60,mexican,True,8694.489473977628,$
M08fi55G6NaBjQPTrNGuFg,Tibet's Restaurant & Bar,80027,4.0,137,himalayan,True,30491.24146622819,$$
Q0IOjnAViM_1CSc-1uzUnw,Swing Thai,80206,3.5,308,thai,True,2570.2512136964297,$$
WuySGC8jfNiqdlWHG6q5IA,Smashburger,80249,2.5,219,burgers,False,29207.769813339815,$$
HADnPyZAsiNQc34eaSyXdQ,Yak and Yeti,80023,4.5,157,indpak,True,24457.79459252369,$$
